,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
0,76001,"Abdelnaby, Alaa",Alaa Abdelnaby,1,1990,1994,HISTADD_alaa_abdelnaby,1610612757,Portland,Trail Blazers,POR,blazers,Y,0
1,76002,"Abdul-Aziz, Zaid",Zaid Abdul-Aziz,0,1968,1977,HISTADD_zaid_abdul-aziz,0,,,,,Y,0
2,76003,"Abdul-Jabbar, Kareem",Kareem Abdul-Jabbar,0,1969,1988,HISTADD_kareem_abdul-jabbar,0,,,,,Y,0
3,51,"Abdul-Rauf, Mahmoud",Mahmoud Abdul-Rauf,1,1990,2000,mahmoud_abdul-rauf,1610612743,Denver,Nuggets,DEN,nuggets,Y,0
4,1505,"Abdul-Wahad, Tariq",Tariq Abdul-Wahad,0,1997,2003,tariq_abdul-wahad,0,,,,,Y,0
5,949,"Abdur-Rahim, Shareef",Shareef Abdur-Rahim,0,1996,2007,shareef_abdur-rahim,0,,,,,Y,0
6,76005,"Abernethy, Tom",Tom Abernethy,0,1976,1980,HISTADD_tom_abernethy,0,,,,,Y,0
7,76006,"Able, Forest",Forest Able,0,1956,1956,HISTADD_frosty_able,0,,,,,Y,0
8,76007,"Abramovic, John",John Abramovic,0,1946,1947,HISTADD_brooms_abramovic,0,,,,,Y,0
9,203518,"Abrines, Alex",Alex Abrines,0,2016,2018,alex_abrines,0,,,,,Y,0
10,101165,"Acker, Alex",Alex Acker,0,2005,2008,alex_acker,0,,,,,Y,1
11,76008,"Ackerman, Donald",Donald Ackerman,0,1953,1953,HISTADD_buddy_ackerman,0,,,,,Y,0
12,76009,"Acres, Mark",Mark Acres,1,1987,1992,HISTADD_mark_acres,1610612753,Orlando,Magic,ORL,magic,Y,0
13,76010,"Acton, Charles",Charles Acton,0,1967,1967,HISTADD_bud_acton,0,,,,,Y,0
14,203112,"Acy, Quincy",Quincy Acy,0,2012,2018,quincy_acy,0,,,,,Y,1
15,76011,"Adams, Alvan",Alvan Adams,0,1975,1987,HISTADD_alvan_adams,0,,,,,Y,0
16,76012,"Adams, Don",Don Adams,0,1970,1976,HISTADD_don_adams,0,,,,,Y,0
17,200801,"Adams, Hassan",Hassan Adams,0,2006,2008,hassan_adams,0,,,,,Y,0
18,1629121,"Adams, Jaylen",Jaylen Adams,0,2018,2018,jaylen_adams,0,,,,,Y,1
19,203919,"Adams, Jordan",Jordan Adams,0,2014,2015,jordan_adams,0,,,,,Y,1
20,149,"Adams, Michael",Michael Adams,1,1985,1995,michael_adams,1610612743,Denver,Nuggets,DEN,nuggets,Y,0
21,203500,"Adams, Steven",Steven Adams,0,2013,2019,steven_adams,0,,,,,Y,0
22,912,"Addison, Rafael",Rafael Addison,0,1986,1996,rafael_addison,0,,,,,Y,0
23,1628389,"Adebayo, Bam",Bam Adebayo,0,2017,2019,bam_adebayo,0,,,,,Y,0
24,1629061,"Adel, Deng",Deng Adel,0,2018,2018,deng_adel,0,,,,,Y,1
25,76015,"Adelman, Rick",Rick Adelman,0,1968,1974,HISTADD_rick_adelman,0,,,,,Y,0
26,202399,"Adrien, Jeff",Jeff Adrien,0,2010,2014,jeff_adrien,0,,,,,Y,1
27,201167,"Afflalo, Arron",Arron Afflalo,0,2007,2017,arron_afflalo,0,,,,,Y,0
28,200772,"Ager, Maurice",Maurice Ager,0,2006,2010,maurice_ager,0,,,,,Y,1
29,76016,"Aguirre, Mark",Mark Aguirre,1,1981,1993,HISTADD_mark_aguirre,1610612765,Detroit,Pistons,DET,pistons,Y,0
30,201336,"Ahearn, Blake",Blake Ahearn,0,2007,2011,blake_ahearn,0,,,,,Y,1
31,76017,"Ainge, Danny",Danny Ainge,1,1981,1994,HISTADD_danny_ainge,1610612757,Portland,Trail Blazers,POR,blazers,Y,0
32,201582,"Ajinca, Alexis",Alexis Ajinca,0,2008,2016,alexis_ajinca,0,,,,,Y,1
33,76018,"Akin, Henry",Henry Akin,0,1966,1967,HISTADD_henry_akin,0,,,,,Y,0
34,203006,"Akognon, Josh",Josh Akognon,0,2012,2012,josh_akognon,0,,,,,Y,1
35,1629152,"Akoon-Purcell, DeVaughn",DeVaughn Akoon-Purcell,0,2018,2018,devaughn_akoon-purcell,0,,,,,Y,1
36,202374,"Alabi, Solomon",Solomon Alabi,0,2010,2011,solomon_alabi,0,,,,,Y,1
37,76019,"Alarie, Mark",Mark Alarie,1,1986,1990,HISTADD_mark_alarie,1610612764,Washington,Bullets,WAS,wizards,Y,0
38,76020,"Alcorn, Gary",Gary Alcorn,0,1959,1960,HISTADD_gary_alcorn,0,,,,,Y,0
39,203128,"Aldemir, Furkan",Furkan Aldemir,0,2014,2014,furkan_aldemir,0,,,,,Y,0
40,202332,"Aldrich, Cole",Cole Aldrich,0,2010,2017,cole_aldrich,0,,,,,Y,1
41,200746,"Aldridge, LaMarcus",LaMarcus Aldridge,0,2006,2019,lamarcus_aldridge,0,,,,,Y,0
42,76021,"Aleksinas, Chuck",Chuck Aleksinas,0,1984,1984,HISTADD_chuck_aleksinas,0,,,,,Y,0
43,1626146,"Alexander, Cliff",Cliff Alexander,0,2015,2015,cliff_alexander,0,,,,,Y,1
44,724,"Alexander, Cory",Cory Alexander,0,1995,2004,cory_alexander,0,,,,,Y,0
45,2042,"Alexander, Courtney",Courtney Alexander,0,2000,2002,courtney_alexander,0,,,,,Y,0
46,76022,"Alexander, Gary",Gary Alexander,0,1993,1993,HISTADD_gary_alexander,0,,,,,Y,0
47,201570,"Alexander, Joe",Joe Alexander,0,2008,2009,joe_alexander,0,,,,,Y,1
48,2349,"Alexander, Victor",Victor Alexander,0,1991,2001,victor_alexander,0,,,,,Y,0
49,1629638,"Alexander-Walker, Nickeil",Nickeil Alexander-Walker,0,2019,2019,nickeil_alexander-walker,0,,,,,Y,0
